complaint_text,category,priority,department
Residents are facing unauthorized construction in the area.,Illegal Construction,Medium,Illegal Construction Department
Citizens have repeatedly reported pest infestation.,Agriculture,Medium,Agriculture Department
Please take immediate action regarding hospital overcrowding.,Healthcare,High,Healthcare Department
Please take immediate action regarding public land encroachment.,Encroachment,Medium,Encroachment Department
Residents are facing digital payment issue in the area.,Digital Services,Low,Digital Services Department
Citizens have repeatedly reported water shortage.,Water,High,Water Department
Multiple complaints have been raised about poor sanitation in hospital.,Healthcare,High,Healthcare Department
Citizens have repeatedly reported dry public taps.,Water,High,Water Department
Authorities have not resolved the favoritism complaint yet.,Corruption,Medium,Corruption Department
Multiple complaints have been raised about ambulance delay.,Healthcare,High,Healthcare Department
The locality has been affected by school infrastructure issue for several days.,Education,Medium,Education Department
People are suffering because of illegal payment demand.,Corruption,Medium,Corruption Department
Citizens have repeatedly reported teacher shortage.,Education,Medium,Education Department
Please take immediate action regarding internet disruption.,Telecom,Medium,Telecom Department
Please take immediate action regarding illegal dumping.,Waste,Medium,Waste Department
Multiple complaints have been raised about damaged streetlight pole.,Streetlight,Medium,Streetlight Department
There is a serious problem involving school infrastructure issue.,Education,Medium,Education Department
Authorities have not resolved the park maintenance issue yet.,Parks,Low,Parks Department
Urgent attention is required due to waste collection delay.,Waste,Medium,Waste Department
People are suffering because of water shortage in toilet.,Public Toilets,Medium,Public Toilets Department
Please take immediate action regarding online service failure.,Digital Services,Low,Digital Services Department
Urgent attention is required due to transformer failure.,Electricity,High,Electricity Department
Please take immediate action regarding uncleared waste.,Waste,Medium,Waste Department
There is a serious problem involving abandoned building risk.,Public Safety,Medium,Public Safety Department
The locality has been affected by encroaching structure for several days.,Illegal Construction,Medium,Illegal Construction Department
Citizens have repeatedly reported damaged streetlight pole.,Streetlight,Medium,Streetlight Department
Please take immediate action regarding illegal occupation.,Encroachment,Medium,Encroachment Department
The situation is worsening because of construction noise.,Noise Pollution,Medium,Noise Pollution Department
The locality has been affected by irrigation issue for several days.,Agriculture,Medium,Agriculture Department
Urgent attention is required due to monkey nuisance.,Animal Issues,Medium,Animal Issues Department
Citizens have repeatedly reported eve teasing incident.,Women & Child Safety,High,Women & Child Safety Department
Residents are facing illegal occupation in the area.,Encroachment,Medium,Encroachment Department
People are suffering because of lack of doctors.,Healthcare,High,Healthcare Department
Please take immediate action regarding abandoned building risk.,Public Safety,Medium,Public Safety Department
People are suffering because of cybercrime activity.,Crime,High,Crime Department
Authorities have not resolved the assault report yet.,Crime,High,Crime Department
The locality has been affected by office inefficiency for several days.,Government Services,Medium,Government Services Department
Citizens have repeatedly reported teacher shortage.,Education,Medium,Education Department
The situation is worsening because of farm water problem.,Agriculture,Medium,Agriculture Department
Authorities have not resolved the broken school furniture yet.,Education,Medium,Education Department
Authorities have not resolved the public grievance unresolved yet.,Government Services,Medium,Government Services Department
The locality has been affected by dark street for several days.,Streetlight,Medium,Streetlight Department
Please take immediate action regarding unsafe apartment.,Housing,Medium,Housing Department
Please take immediate action regarding network outage.,Telecom,Medium,Telecom Department
Authorities have not resolved the large potholes yet.,Infrastructure,Medium,Infrastructure Department
Authorities have not resolved the loudspeaker disturbance yet.,Noise Pollution,Medium,Noise Pollution Department
There is a serious problem involving unsafe pedestrian crossing.,Public Safety,Medium,Public Safety Department
The situation is worsening because of roof leakage.,Housing,Medium,Housing Department
Please take immediate action regarding sewage overflow.,Sewage,High,Sewage Department
Urgent attention is required due to public land encroachment.,Encroachment,Medium,Encroachment Department
Please take immediate action regarding internet disruption.,Telecom,Medium,Telecom Department
The locality has been affected by poor drainage system for several days.,Drainage,Medium,Drainage Department
Urgent attention is required due to stray dog attack.,Animal Issues,Medium,Animal Issues Department
The situation is worsening because of building crack.,Housing,Medium,Housing Department
Urgent attention is required due to harassment of women.,Women & Child Safety,High,Women & Child Safety Department
Multiple complaints have been raised about water shortage in toilet.,Public Toilets,Medium,Public Toilets Department
People are suffering because of robbery case.,Crime,High,Crime Department
The situation is worsening because of poor mobile signal.,Telecom,Medium,Telecom Department
Residents are facing telecom service issue in the area.,Telecom,Medium,Telecom Department
There is a serious problem involving traffic noise.,Noise Pollution,Medium,Noise Pollution Department
People are suffering because of water shortage.,Water,High,Water Department
Citizens have repeatedly reported service request pending.,Government Services,Medium,Government Services Department
Multiple complaints have been raised about transformer failure.,Electricity,High,Electricity Department
There is a serious problem involving garbage accumulation.,Waste,Medium,Waste Department
The situation is worsening because of unclean public toilet.,Public Toilets,Medium,Public Toilets Department
The locality has been affected by poor mobile signal for several days.,Telecom,Medium,Telecom Department
The situation is worsening because of street vendor blockage.,Encroachment,Medium,Encroachment Department
The situation is worsening because of poor public transport.,Transport,Medium,Transport Department
Authorities have not resolved the sewage smell yet.,Sewage,High,Sewage Department
Citizens have repeatedly reported cybercrime activity.,Crime,High,Crime Department
Authorities have not resolved the corrupt practice yet.,Corruption,Medium,Corruption Department
There is a serious problem involving illegal occupation.,Encroachment,Medium,Encroachment Department
There is a serious problem involving public grievance unresolved.,Government Services,Medium,Government Services Department
Citizens have repeatedly reported industrial smoke.,Pollution,Medium,Pollution Department
Residents are facing overflowing dustbins in the area.,Waste,Medium,Waste Department
Citizens have repeatedly reported server downtime.,Digital Services,Low,Digital Services Department
Residents are facing online service failure in the area.,Digital Services,Low,Digital Services Department
Citizens have repeatedly reported garbage accumulation.,Waste,Medium,Waste Department
People are suffering because of garbage accumulation.,Waste,Medium,Waste Department
Citizens have repeatedly reported waste collection delay.,Waste,Medium,Waste Department
Citizens have repeatedly reported lack of toilets in school.,Education,Medium,Education Department
Multiple complaints have been raised about broken playground equipment.,Parks,Low,Parks Department
Citizens have repeatedly reported digital payment issue.,Digital Services,Low,Digital Services Department
Authorities have not resolved the double parking yet.,Parking,Low,Parking Department
Please take immediate action regarding theft incident.,Crime,High,Crime Department
People are suffering because of street vendor blockage.,Encroachment,Medium,Encroachment Department
There is a serious problem involving river pollution.,Environment,Medium,Environment Department
Please take immediate action regarding sewage overflow.,Sewage,High,Sewage Department
People are suffering because of load shedding.,Electricity,High,Electricity Department
Citizens have repeatedly reported illegal parking.,Parking,Low,Parking Department
The situation is worsening because of robbery case.,Crime,High,Crime Department
Authorities have not resolved the cattle on roads yet.,Animal Issues,Medium,Animal Issues Department
There is a serious problem involving poor public transport.,Transport,Medium,Transport Department
There is a serious problem involving lack of doctors.,Healthcare,High,Healthcare Department
Please take immediate action regarding blocked driveway.,Parking,Low,Parking Department
Residents are facing electric line fault in the area.,Electricity,High,Electricity Department
The locality has been affected by uncleared waste for several days.,Waste,Medium,Waste Department
There is a serious problem involving river pollution.,Environment,Medium,Environment Department
Residents are facing assault report in the area.,Crime,High,Crime Department
Residents are facing signal malfunction in the area.,Transport,Medium,Transport Department
There is a serious problem involving abandoned building risk.,Public Safety,Medium,Public Safety Department
The situation is worsening because of poor drainage system.,Drainage,Medium,Drainage Department
The locality has been affected by street vendor blockage for several days.,Encroachment,Medium,Encroachment Department
Citizens have repeatedly reported kidnapping complaint.,Crime,High,Crime Department
The situation is worsening because of electric line fault.,Electricity,High,Electricity Department
Residents are facing voltage fluctuation in the area.,Electricity,High,Electricity Department
There is a serious problem involving electric line fault.,Electricity,High,Electricity Department
The locality has been affected by poor housing conditions for several days.,Housing,Medium,Housing Department
Please take immediate action regarding electric line fault.,Electricity,High,Electricity Department
Please take immediate action regarding sewer blockage.,Sewage,High,Sewage Department
Citizens have repeatedly reported loudspeaker disturbance.,Noise Pollution,Medium,Noise Pollution Department
Multiple complaints have been raised about unsafe area.,Public Safety,Medium,Public Safety Department
Multiple complaints have been raised about poor sanitation in hospital.,Healthcare,High,Healthcare Department
Please take immediate action regarding electric line fault.,Electricity,High,Electricity Department
Multiple complaints have been raised about ecosystem damage.,Environment,Medium,Environment Department
Urgent attention is required due to roof leakage.,Housing,Medium,Housing Department
Citizens have repeatedly reported kidnapping complaint.,Crime,High,Crime Department
The locality has been affected by lack of toilets in school for several days.,Education,Medium,Education Department
There is a serious problem involving illegal occupation.,Encroachment,Medium,Encroachment Department
Residents are facing waterlogging in the area.,Flooding,High,Flooding Department
Multiple complaints have been raised about animal shelter issue.,Animal Issues,Medium,Animal Issues Department
The situation is worsening because of air pollution.,Pollution,Medium,Pollution Department
Urgent attention is required due to cybercrime activity.,Crime,High,Crime Department
Please take immediate action regarding broken footpath.,Infrastructure,Medium,Infrastructure Department
People are suffering because of certificate issue.,Government Services,Medium,Government Services Department
There is a serious problem involving drain overflow.,Drainage,Medium,Drainage Department
Urgent attention is required due to water shortage in toilet.,Public Toilets,Medium,Public Toilets Department
Residents are facing nighttime noise in the area.,Noise Pollution,Medium,Noise Pollution Department
Urgent attention is required due to public land encroachment.,Encroachment,Medium,Encroachment Department
The locality has been affected by harassment of women for several days.,Women & Child Safety,High,Women & Child Safety Department
Please take immediate action regarding school infrastructure issue.,Education,Medium,Education Department
The locality has been affected by farm water problem for several days.,Agriculture,Medium,Agriculture Department
Multiple complaints have been raised about unsafe classrooms.,Education,Medium,Education Department
Citizens have repeatedly reported kidnapping complaint.,Crime,High,Crime Department
The situation is worsening because of illegal occupation.,Encroachment,Medium,Encroachment Department
Residents are facing flammable waste in the area.,Fire Hazard,High,Fire Hazard Department
Urgent attention is required due to illegal dumping.,Waste,Medium,Waste Department
People are suffering because of power outage.,Electricity,High,Electricity Department
Urgent attention is required due to poor mobile signal.,Telecom,Medium,Telecom Department
The situation is worsening because of signal malfunction.,Transport,Medium,Transport Department
The situation is worsening because of illegal payment demand.,Corruption,Medium,Corruption Department
Please take immediate action regarding water shortage.,Water,High,Water Department
The situation is worsening because of certificate issue.,Government Services,Medium,Government Services Department
Multiple complaints have been raised about voltage fluctuation.,Electricity,High,Electricity Department
Authorities have not resolved the broken playground equipment yet.,Parks,Low,Parks Department
Urgent attention is required due to damaged road.,Infrastructure,Medium,Infrastructure Department
People are suffering because of streetlight not working.,Streetlight,Medium,Streetlight Department
Please take immediate action regarding robbery case.,Crime,High,Crime Department
Authorities have not resolved the faulty street lighting yet.,Streetlight,Medium,Streetlight Department
Citizens have repeatedly reported construction noise.,Noise Pollution,Medium,Noise Pollution Department
The locality has been affected by sewer blockage for several days.,Sewage,High,Sewage Department
Residents are facing office inefficiency in the area.,Government Services,Medium,Government Services Department
Authorities have not resolved the poor public transport yet.,Transport,Medium,Transport Department
Urgent attention is required due to vehicle obstruction.,Parking,Low,Parking Department
Authorities have not resolved the traffic congestion yet.,Transport,Medium,Transport Department
There is a serious problem involving sewage overflow.,Sewage,High,Sewage Department
There is a serious problem involving hospital overcrowding.,Healthcare,High,Healthcare Department
Citizens have repeatedly reported damaged streetlight pole.,Streetlight,Medium,Streetlight Department
Citizens have repeatedly reported lack of doctors.,Healthcare,High,Healthcare Department
Urgent attention is required due to abandoned building risk.,Public Safety,Medium,Public Safety Department
Urgent attention is required due to sewage overflow.,Sewage,High,Sewage Department
Authorities have not resolved the faulty street lighting yet.,Streetlight,Medium,Streetlight Department
People are suffering because of public land encroachment.,Encroachment,Medium,Encroachment Department
Urgent attention is required due to water shortage.,Water,High,Water Department
Urgent attention is required due to road blockage.,Transport,Medium,Transport Department
Multiple complaints have been raised about power outage.,Electricity,High,Electricity Department
People are suffering because of illegal sand mining.,Environment,Medium,Environment Department
The situation is worsening because of ecosystem damage.,Environment,Medium,Environment Department
